Source | Destination | Message Type | Message Length | TimeStamp
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:27.801101
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:27.801101
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:27.839402
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:27.839402
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:28.002744
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:28.002744
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:28.041337
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:28.041337
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:28.204427
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:28.204427
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:28.242516
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:28.242516
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:28.405538
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:28.405538
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:28.443626
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:28.443626
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:28.606718
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:28.606718
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:28.644890
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:28.644890
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:28.808369
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:28.808369
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:28.845983
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:28.845983
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:29.010323
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:29.010323
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:29.047821
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:29.047821
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:29.211728
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:29.211728
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:29.248838
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:29.248838
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:29.412905
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:29.412905
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:29.450015
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:29.450015
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:29.614082
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:29.614082
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:29.651192
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:29.651192
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:29.815260
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:29.815260
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:29.852370
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:29.852370
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:30.016437
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:30.016437
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:30.053547
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:30.053547
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:30.217615
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:30.217615
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:30.254724
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:30.254724
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:30.419329
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:30.419329
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:30.456440
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:30.456440
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:30.620509
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:30.620509
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:30.657620
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:30.657620
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:30.821958
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:30.821958
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:30.859069
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:30.859069
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:31.023524
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:31.023524
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:31.060634
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:31.060634
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:31.224702
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:31.224702
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:31.261812
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:31.261812
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:31.425879
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:31.425879
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:31.462989
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:31.462989
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:31.627056
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:31.627056
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:31.664166
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:31.664166
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:31.828233
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:31.828233
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:31.865344
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:31.865344
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:32.029411
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:32.029411
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:32.066522
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:32.066522
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:32.231094
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:32.232069
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:32.268204
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:32.268204
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:32.432287
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:32.432287
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:32.469398
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:32.469398
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:32.633677
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:32.633677
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:32.670787
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:32.670787
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:32.835240
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:32.835240
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:32.872350
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:32.872350
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:33.037109
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:33.037109
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:33.073822
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:33.073822
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:33.238194
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:33.238194
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:33.275426
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:33.275426
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:33.439207
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:33.439207
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:33.476508
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:33.476508
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:33.641090
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:33.641090
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:33.677681
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:33.677681
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:33.842430
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:33.842430
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:33.879617
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:33.879617
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:34.043968
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:34.043968
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:34.081360
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:34.081360
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:34.245153
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:34.245153
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:34.282768
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:34.282768
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:34.446539
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:34.446539
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:34.483903
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:34.483903
